# list2_planets: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 1488768 candidate stars
# score: P_A * P(m2<13 MJ), ms_offset < 0.2 (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
131,97334889619799168,0.63656164,0.63656164,1,160,-0.216144,False,False,False,False,False
132,5976715930402680960,0.63637094,0.63637094,1,161,-0.379592,False,False,False,False,False
133,6112090855684709248,0.63528481,0.63528481,1,162,-0.013019,False,False,False,False,False
134,4147993588172928640,0.63447012,0.63447012,1,164,0.146302,False,False,False,False,False
135,220733938598256640,0.63410659,0.63410659,1,165,-0.151397,False,False,False,False,False
136,3826905921905875840,0.63357618,0.75425736,0.84,168,0.123393,False,False,False,False,False
137,5237540926189997824,0.63288063,0.63288063,1,169,-0.049366,False,False,False,False,False
138,160482900421184768,0.63257088,0.63257088,1,170,0.024294,False,False,False,False,False
139,6093381394034220544,0.63058571,0.63058571,1,171,0.076979,False,False,False,False,False
140,2835944953972233856,0.62940454,0.62940454,1,172,-0.059271,False,False,False,False,False
141,1385500207094132096,0.6282078,0.6282078,1,174,-0.234028,False,False,True,False,False
142,4923179694098110848,0.62790116,0.74750138,0.84,175,-0.247308,False,False,False,False,False
143,1300205420771588864,0.6260458,0.6260458,1,177,0.086144,False,False,False,False,False
144,1271823898923983616,0.62494951,0.62494951,1,179,0.055758,False,False,False,False,False
145,4976609705736840960,0.62485846,0.62485846,1,180,0.121189,False,False,False,False,False
146,4525046087008652288,0.62427246,0.62427246,1,181,0.092907,False,False,True,False,False
147,3445808766449470464,0.62373369,0.6779714,0.92,183,0.085427,False,False,False,False,False
148,1473478385905454976,0.62321391,0.62321391,1,184,-0.007978,False,False,False,False,False
149,2571094283835172736,0.62288577,0.62288577,1,185,0.069726,False,False,False,False,False
150,5877865127793207680,0.62248257,0.67661149,0.92,186,0.121137,False,False,False,False,False
151,133359735269472768,0.6207272,0.6207272,1,189,-0.064522,False,False,False,False,False
152,648638403565088768,0.62058748,0.62058748,1,191,-0.000234,False,False,False,False,False
153,5660063041184035328,0.62004509,0.62004509,1,192,-0.042857,False,False,False,False,False
154,2591201534008672256,0.61783449,0.61783449,1,193,0.182671,False,False,True,False,False
155,5207997014358306816,0.61559046,0.64124006,0.96,196,0.118516,False,False,True,False,False
156,6567609525117256576,0.61502149,0.76877686,0.8,197,0.10195,False,False,False,False,False
157,6329012134635132544,0.61490275,0.61490275,1,198,-0.066601,False,False,False,False,False
158,1964791549008457856,0.61451948,0.64012446,0.96,199,0.098277,False,False,False,False,False
159,3680418881090968576,0.61361908,0.61361908,1,200,0.195202,False,False,False,False,False
160,1641352680227622656,0.61347291,0.76684114,0.8,201,0.112404,False,False,False,False,False
161,1165479168642900992,0.61270988,0.61270988,1,203,0.118354,False,False,False,False,False
162,3999433452516434560,0.6126674,0.6126674,1,204,-0.118327,False,False,False,False,False
163,5384065896210582528,0.61158853,0.61158853,1,205,-0.296502,False,False,False,False,False
164,2107257297843283584,0.61143062,0.61143062,1,206,-0.01879,False,False,False,False,False
165,4986885500889922176,0.60992449,0.60992449,1,207,-0.076158,False,False,False,False,False
166,5552366770597464320,0.60728435,0.60728435,1,209,0.08941,False,False,False,False,False
167,2525276565243086080,0.60609407,0.60609407,1,210,-0.368369,False,False,False,False,False
168,6223582782147039360,0.60590585,0.75738232,0.8,211,0.160981,False,False,True,False,False
169,3499296429434610304,0.60589352,0.60589352,1,212,-0.123733,False,False,False,False,False
170,709563717249089792,0.60450672,0.60450672,1,213,0.077781,False,False,False,False,False
171,4568345164145036032,0.6039803,0.6039803,1,215,-0.212533,False,False,False,False,False
172,4446207564241339520,0.60330643,0.60330643,1,216,-0.024088,False,False,False,False,False
173,6526981745838847616,0.60236025,0.60236025,1,217,0.111382,False,False,False,False,False
174,6012446244330608768,0.60225936,0.60225936,1,218,-0.220902,False,False,False,False,False
175,1566921068785635200,0.60223179,0.6843543,0.88,219,0.115981,False,False,False,False,False
176,6528104828246692864,0.60207936,0.60207936,1,220,0.185331,False,False,False,False,False
177,2746378702412807168,0.60191224,0.60191224,1,221,0.021011,False,False,False,False,False
178,4028913901877565184,0.60121248,0.75151559,0.8,223,0.110497,False,False,False,False,False
179,2044289022840065408,0.60080891,0.6827374,0.88,224,0.07572,False,False,False,False,False
180,3475201598476618496,0.60029792,0.7503724,0.8,225,-0.122569,False,False,True,False,False
181,2486388560866377728,0.59970251,0.59970251,1,226,-0.529306,False,False,False,False,False
182,3098328182579892096,0.59700993,0.59700993,1,229,-0.780218,False,False,False,False,False
183,2161121135533953536,0.59594629,0.59594629,1,230,0.047313,False,False,False,False,False
184,3285714066648802816,0.59543581,0.59543581,1,231,-0.236407,False,False,False,False,False
185,4885967788207376896,0.59486416,0.59486416,1,232,-0.006199,False,False,True,False,False
186,5799810625495815040,0.59463682,0.61941335,0.96,233,0.009984,False,False,False,False,False
187,6768500538717144064,0.59382913,0.59382913,1,234,0.152445,False,False,False,False,False
188,4968258979345754624,0.59296754,0.59296754,1,235,0.010168,False,False,False,False,False
189,2398975118715404672,0.59198321,0.59198321,1,236,-0.291098,False,False,False,False,False
190,2312376723918929920,0.59155304,0.59155304,1,237,-0.681036,False,False,False,False,False
191,3595317540095019520,0.59135217,0.59135217,1,238,0.155299,False,False,False,False,False
192,3419824244375400064,0.59112541,0.67173342,0.88,239,0.029564,False,False,False,False,False
193,4829224295199718784,0.59098375,0.73872969,0.8,240,0.067409,False,False,False,False,False
194,2506306454521815040,0.59028836,0.59028836,1,241,-0.346775,False,False,False,False,False
195,2451701339832959232,0.58950138,0.58950138,1,242,-0.659045,False,False,False,False,False
196,3994104184084389504,0.58916466,0.58916466,1,243,-0.208919,False,False,True,False,False
197,46498282316394240,0.58764373,0.58764373,1,245,0.095149,False,False,False,False,False
198,6536984484150014720,0.58703221,0.58703221,1,248,0.185937,False,False,False,False,False
199,527956488339113600,0.58614825,0.58614825,1,249,-0.608847,False,False,False,False,False
200,6343965492773694464,0.58568796,0.58568796,1,250,-0.586706,False,False,False,False,False
201,288484608151416960,0.58561961,0.58561961,1,251,-0.017201,False,False,False,False,False
202,5235291462829758848,0.58539236,0.73174045,0.8,252,-0.355406,False,False,False,False,False
203,4996141155411983744,0.58513914,0.58513914,1,253,-0.242198,False,False,False,False,False
204,5239143876687884160,0.58461419,0.69596927,0.84,254,0.054416,False,False,False,False,False
205,4919497979411495296,0.5835117,0.5835117,1,255,-0.222162,False,False,False,False,False
206,3197487123332369536,0.58339011,0.58339011,1,256,-0.429692,False,False,False,False,False
207,4896480390678599168,0.58276465,0.58276465,1,257,-0.18991,False,False,False,False,False
208,788357434914248448,0.58222141,0.58222141,1,258,0.118508,False,False,False,False,False
209,74203982469858816,0.58215674,0.58215674,1,259,0.057974,False,False,False,False,False
210,1828403625591238144,0.58209599,0.58209599,1,260,-0.08669,False,False,False,False,False
