# list1_substellar: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 2234316 candidate stars
# score: P_A (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
87,5208666135903893760,0.77539012,0.77539012,0.32,134,0.543009,False,False,False,False,False
88,4677663970295224576,0.77533668,0.77533668,0.76,135,0.567401,False,False,False,False,False
89,619702315536214528,0.77514683,0.77514683,0.2,137,0.143067,False,False,False,False,False
90,2986977753815048064,0.77509856,0.77509856,1,138,0.651568,False,False,False,False,False
91,4426270940229616256,0.77487335,0.77487335,0.6,140,0.197699,False,False,False,False,False
92,5445903258704486400,0.77447751,0.77447751,0.08,142,0.539782,False,False,False,False,False
93,3709629606506246656,0.77399795,0.77399795,0.24,143,0.298723,False,False,True,False,False
94,1197705407780697088,0.77399352,0.77399352,0.16,144,0.568012,False,False,True,False,False
95,3256675277364430848,0.7739745,0.7739745,0.32,145,0.458389,False,False,True,False,False
96,1013110152935464192,0.77394731,0.77394731,0.92,146,0.17298,False,False,False,False,False
97,1035277338143630336,0.77390449,0.77390449,0,147,0.680282,False,False,False,False,False
98,3707083515533601280,0.77358834,0.77358834,1,148,0.382828,False,False,False,False,False
99,217342872940649600,0.77346484,0.77346484,0.28,149,0.745456,False,False,False,False,False
100,212422180451917312,0.77337856,0.77337856,0.16,150,0.826423,False,False,False,False,False
101,1138937885661716864,0.77320349,0.77320349,0.36,151,0.009231,False,False,False,False,False
102,6764810715133775744,0.77319537,0.77319537,1,152,0.253938,False,False,False,False,False
103,488198628914682112,0.77314688,0.77314688,0.6,153,0.116118,False,False,False,False,False
104,4732538568412966784,0.77294304,0.77294304,0.56,154,-0.035853,False,False,True,False,False
105,1935409402857538688,0.77277671,0.77277671,0.12,156,0.21032,False,False,False,False,False
106,2470382111108397184,0.77277514,0.77277514,0.48,157,0.343678,False,False,True,False,False
107,3240089350620009216,0.7725711,0.7725711,0.24,158,0.281962,False,False,False,False,False
108,5680052952850766592,0.772551,0.772551,0.08,159,0.157446,False,False,True,False,False
109,2400808245117576704,0.77226707,0.77226707,1,161,0.339023,False,False,False,False,False
110,4235670019740515328,0.77183284,0.77183284,0.32,162,0.080423,False,False,True,False,False
111,4692269642240299776,0.77174545,0.77174545,0.6,164,0.20152,False,False,True,False,False
112,3240217301987207936,0.77149495,0.77149495,0.72,165,0.024368,False,False,False,False,False
113,4897180848306448640,0.77141689,0.77141689,0.32,166,0.733265,False,False,False,False,False
114,3846009489762096000,0.77140976,0.77140976,0,167,-0.556176,False,False,False,False,False
115,2281333902896842752,0.77137345,0.77137345,0.24,168,0.667044,False,True,False,False,False
